year,mm-dd,location,parameter,unit,datatype,value
2019,1-Jan,BON,Stlhd,fish/day,Adult Passage,7
2019,2-Jan,BON,Stlhd,fish/day,Adult Passage,19
2019,3-Jan,BON,Stlhd,fish/day,Adult Passage,8
2019,4-Jan,BON,Stlhd,fish/day,Adult Passage,18
2019,5-Jan,BON,Stlhd,fish/day,Adult Passage,11
2019,6-Jan,BON,Stlhd,fish/day,Adult Passage,8
2019,7-Jan,BON,Stlhd,fish/day,Adult Passage,7
2019,8-Jan,BON,Stlhd,fish/day,Adult Passage,1
2019,9-Jan,BON,Stlhd,fish/day,Adult Passage,2
2019,10-Jan,BON,Stlhd,fish/day,Adult Passage,6
2019,11-Jan,BON,Stlhd,fish/day,Adult Passage,9
2019,12-Jan,BON,Stlhd,fish/day,Adult Passage,4
2019,13-Jan,BON,Stlhd,fish/day,Adult Passage,5
2019,14-Jan,BON,Stlhd,fish/day,Adult Passage,0
2019,15-Jan,BON,Stlhd,fish/day,Adult Passage,3
2019,16-Jan,BON,Stlhd,fish/day,Adult Passage,4
2019,17-Jan,BON,Stlhd,fish/day,Adult Passage,1
2019,18-Jan,BON,Stlhd,fish/day,Adult Passage,5
2019,19-Jan,BON,Stlhd,fish/day,Adult Passage,9
2019,20-Jan,BON,Stlhd,fish/day,Adult Passage,9
2019,21-Jan,BON,Stlhd,fish/day,Adult Passage,3
2019,22-Jan,BON,Stlhd,fish/day,Adult Passage,9
2019,23-Jan,BON,Stlhd,fish/day,Adult Passage,6
2019,24-Jan,BON,Stlhd,fish/day,Adult Passage,4
2019,25-Jan,BON,Stlhd,fish/day,Adult Passage,2
2019,26-Jan,BON,Stlhd,fish/day,Adult Passage,2
2019,27-Jan,BON,Stlhd,fish/day,Adult Passage,0
2019,28-Jan,BON,Stlhd,fish/day,Adult Passage,3
2019,29-Jan,BON,Stlhd,fish/day,Adult Passage,8
2019,30-Jan,BON,Stlhd,fish/day,Adult Passage,8
2019,31-Jan,BON,Stlhd,fish/day,Adult Passage,2
2019,1-Feb,BON,Stlhd,fish/day,Adult Passage,3
